Sample Name,Target Name,Ct,GAPDH,dCT
mock2,IRF7,23.51,15.416,8.094
mock2,IRF7,23.544,15.299,8.245
mock2,IRF7,23.524,15.483,8.042
mock2,IRF7,24.477,14.777,9.7
mock2,IRF7,25.003,14.866,10.138
mock2,IRF7,24.617,14.75,9.867
mock2,IRF7,25.732,15.062,10.67
mock2,IRF7,25.936,14.952,10.984
mock2,IRF7,25.832,15.015,10.816
irf73,IRF7,24.916,14.99,9.926
irf73,IRF7,24.992,14.89,10.102
irf73,IRF7,25.071,14.847,10.224
irf73,IRF7,25.476,14.975,10.5
irf73,IRF7,25.399,14.975,10.425
irf73,IRF7,25.642,14.907,10.736
irf73,IRF7,28.03,15.92,12.11
irf73,IRF7,27.982,15.908,12.074
irf73,IRF7,28.083,15.933,12.15
irf72,IRF7,24.276,14.96,9.316
irf72,IRF7,24.213,14.95,9.263
irf72,IRF7,24.334,14.9,9.434
irf72,IRF7,25.273,14.671,10.602
irf72,IRF7,25.136,14.644,10.492
irf72,IRF7,25.236,14.759,10.477
irf72,IRF7,24.988,14.558,10.43
irf72,IRF7,24.994,14.746,10.247
irf72,IRF7,25.241,14.7,10.541
irf71,IRF7,24.991,15.431,9.56
irf71,IRF7,24.959,15.341,9.618
irf71,IRF7,25.079,14.392,10.687
irf71,IRF7,24.988,14.988,10
irf71,IRF7,24.859,15.072,9.787
irf71,IRF7,24.033,15.224,8.809
irf71,IRF7,26.634,15.217,11.417
irf71,IRF7,26.654,15.352,11.302
irf71,IRF7,26.541,15.272,11.269
irf74,IRF7,26.016,15.221,10.795
irf74,IRF7,25.999,15.299,10.7
irf74,IRF7,26.179,15.37,10.809
irf74,IRF7,25.433,14.32,11.112
irf74,IRF7,25.93,14.496,11.433
irf74,IRF7,26.073,14.554,11.519
irf74,IRF7,26.339,14.654,11.686
irf74,IRF7,26.332,14.49,11.842
irf74,IRF7,26.288,14.557,11.732
irf75,IRF7,26.364,15.279,11.084
irf75,IRF7,26.329,15.283,11.046
irf75,IRF7,26.21,15.336,10.874
irf75,IRF7,26.8692,14.95539,11.91381
irf75,IRF7,26.67245,14.86671,11.80574
irf75,IRF7,26.61786,15.03078,11.58707
irf75,IRF7,26.52097,14.90738,11.61359
irf75,IRF7,26.67007,15.05033,11.61974
irf75,IRF7,26.68278,15.03028,11.6525
